id,name,reason,cluster_id,group name,group description
0,voice command feature,user wants to talk to the ai for recommendations like 'serious spy series';,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
1,expand content choices,user feels limited by the few icons and choices available;,2,Customization and Content Expansion,"This topic covers suggestions for expanding content choices and categories, as well as adjusting interests and adding special categories for events."
2,expand content library,"user found limited recommendations, suggesting an expansion of the content library.;",2,Customization and Content Expansion,"This topic covers suggestions for expanding content choices and categories, as well as adjusting interests and adding special categories for events."
3,smart recommendation engine,"user wants a smart engine for recommendations based on richer content descriptions, similar titles, and timing/mood.;",5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
4,profile matching feature,user suggests a feature to connect and match profiles with their spouse to find common interests for watching together.;,4,App Recommendations and Sharing,This topic covers features related to sharing and recommending content with friends and spouses through the app.
5,ai chat assistant,user recommends adding an ai chat assistant that learns from user's prompts and history to provide personalized advice.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
6,distinguish chat-prompt bubbles from content labels,"the design of chat-prompt bubbles and content labels for movies/tv shows are very similar, making it confusing for users. consider differentiating their designs.;",5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
7,feature request: share recommendations,user suggests adding the ability to share recommendations with friends.;,4,App Recommendations and Sharing,This topic covers features related to sharing and recommending content with friends and spouses through the app.
8,more options in mood categories,"user suggests adding more options in mood categories, including movies from other platforms like youtube.;",3,Logo and Theme Confusion,"This topic covers issues related to inconsistent logos, problems changing themes, and error messages in mood categories."
9,show movies from non-subscribed apps,user requests an option to display movies from apps they are not subscribed to when options run out.;,6,Movie Recommendations,"This topic covers issues related to receiving inaccurate, repeated, and poor movie recommendations on a platform with an AI assistant."
10,user feedback interview,perform topic modeling on the user feedback interview;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
11,letterboxd support,user mentioned letterboxd support in the interview.;,-1,Outliers,Each problem should be analysed separately.
12,add feedback option for recommendations,user wants the ability to provide feedback on recommendations when pressing thumbs down and selecting another one.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
13,text message feature,user misses the text message feature.;,5,User Feedback and Engagement,"This topic covers user feedback and engagement with the app, including suggestions for improvements and confusion with certain features."
14,connect with partner and friends,allow users to connect with their partner and friends within the app.;,4,App Recommendations and Sharing,This topic covers features related to sharing and recommending content with friends and spouses through the app.
15,tag recommendations,enable users to tag recommendations for watching later.;,4,App Recommendations and Sharing,This topic covers features related to sharing and recommending content with friends and spouses through the app.
16,to watch list,add a feature to create a 'to watch' list for users.;,4,App Recommendations and Sharing,This topic covers features related to sharing and recommending content with friends and spouses through the app.
17,include ratings from rotten tomatoes and imdb,add external ratings to provide more information about the content;,-1,Outliers,Each problem should be analysed separately.
18,create a netflix rating system,allow users to rate content within the platform;,-1,Outliers,Each problem should be analysed separately.
